"tanggal";"periode";"id";"nomor";"transaksi";"referensi";"model";"rekening";"debet";"credit";"pembayaran_";"bunga_";"denda_";"titipan_";"administrasi_";"modal_";"pinjaman_";"biaya_";"kantor";"keterangan";"active";"ip";"status";"user";"created";"modified"
"2018-10-31 19:18:32";"2018.10";"1809030003/PA/";"3";;;"1.1001";"1.2003";"1040000";"0";"1040000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60436 C";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-27 20:53:06";"2018.09";"1809030003/PB/";"2";;;"1.1001";"3.1000";"141000";"0";"0";"141000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60436 C";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-31 19:18:32";"2018.10";"1809030003/PB/";"3";;;"1.1001";"3.1000";"141000";"0";"0";"141000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60436 C";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-03 21:09:42";"2018.09";"1809030003/PI/";"2";;;"1.1001";"1.2003";"0";"6240000";"0";"0";"0";"0";"0";"0";"6240000";"0";"KSP123";"Pinjaman Kontrak No. 60436 C";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-22 15:03:05";"2018.09";"1809030004/PA/";"2";;;"1.1001";"1.2003";"1214000";"0";"1214000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60536";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-22 15:03:19";"2018.09";"1809030004/PA/";"3";;;"1.1001";"1.2003";"1214000";"0";"1214000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60536";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-17 18:55:14";"2018.10";"1809030004/PA/";"4";;;"1.1001";"1.2003";"1214000";"0";"1214000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 3 Kontrak No. 60536";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-17 18:55:45";"2018.10";"1809030004/PA/";"5";;;"1.1001";"1.2003";"1214000";"0";"1214000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 4 Kontrak No. 60536";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-22 15:03:05";"2018.09";"1809030004/PB/";"2";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60536";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-22 15:03:19";"2018.09";"1809030004/PB/";"3";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60536";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-17 18:55:14";"2018.10";"1809030004/PB/";"4";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 3 Kontrak No. 60536";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-17 18:55:45";"2018.10";"1809030004/PB/";"5";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 4 Kontrak No. 60536";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-03 21:13:13";"2018.09";"1809030004/PI/";"2";;;"1.1001";"1.2003";"0";"7280000";"0";"0";"0";"0";"0";"0";"7280000";"0";"KSP123";"Pinjaman Kontrak No. 60536";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-17 18:55:14";"2018.10";"1809030004/PK/";"4";;;"1.1001";"2.3000";"0";"244000";"0";"0";"0";"0";"0";"0";"0";"244000";"KSP123";"Titipan Keluar Kontrak No. 60536";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-22 15:03:53";"2018.09";"1809030004/PM/";"2";;;"1.1001";"2.3000";"244000";"0";"0";"0";"0";"244000";"0";"0";"0";"0";"KSP123";"Titipan Masuk Kontrak No. 60536";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-03 21:16:46";"2018.09";"1809030005/PI/";"2";;;"1.1001";"1.2003";"0";"2080000";"0";"0";"0";"0";"0";"0";"2080000";"0";"KSP123";"Pinjaman Kontrak No. 60537";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-02 10:47:09";"2018.10";"1809030006/PA/";"2";;;"1.1001";"1.2003";"910000";"0";"910000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60362 E";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-02 17:15:12";"2018.11";"1809030006/PA/";"3";;;"1.1001";"1.2003";"910000";"0";"910000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60362 E";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-02 10:47:09";"2018.10";"1809030006/PB/";"2";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60362 E";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-02 17:15:12";"2018.11";"1809030006/PB/";"3";;;"1.1001";"3.1000";"164000";"0";"0";"164000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60362 E";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-03 21:24:05";"2018.09";"1809030006/PI/";"2";;;"1.1001";"1.2003";"0";"7280000";"0";"0";"0";"0";"0";"0";"7280000";"0";"KSP123";"Pinjaman Kontrak No. 60362 E";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-28 19:18:45";"2018.09";"1809030007/PA/";"2";;;"1.1001";"1.2003";"780000";"0";"780000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60468 B";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-01 19:41:21";"2018.11";"1809030007/PA/";"3";;;"1.1001";"1.2003";"780000";"0";"780000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60468 B";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-28 19:18:45";"2018.09";"1809030007/PB/";"2";;;"1.1001";"3.1000";"147000";"0";"0";"147000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60468 B";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
